geo_code,geo_name_rsv,taux_passages_bronchio_sau_popnorm,taux_hospit_bronchio_sau_popnorm,taux_actes_bronchio_sos_popnorm,geo_name_vac,couv_dose1,couv_complet,couv_rappel,port_du_masque,lavage_des_mains,eviter_les_regrupements,aeration_du_logement,saluer_sans_serrer_la_main,adhesion_vaccinale_adultes,adhesion_vaccinale_enfants,grocery and pharmacy,parks,residential,retail and recreation,transit stations,workplaces,score_mnp,tmean,tmean_szn_pct,tmean_szn_quintile,rsv_pos_pct,geo_level
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,8.254285714285714,62.5,3.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,7.478571428571429,75.0,4.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,8.764285714285714,62.5,3.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,7.647142857142858,37.5,2.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,7.69,12.5,1.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,7.228571428571429,37.5,2.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,6.835714285714286,25.0,1.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,10.955714285714285,37.5,2.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,8.141428571428571,25.0,1.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,8.307142857142857,62.5,3.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,8.5,12.5,1.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,9.457142857142856,31.25,2.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,7.371428571428572,37.5,2.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,8.05,50.0,2.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,7.585714285714286,62.5,3.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,12.012857142857143,87.5,4.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,13.8,100.0,5.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,11.542857142857144,100.0,5.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,11.907142857142857,100.0,5.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,9.907142857142857,100.0,5.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,12.364285714285714,87.5,4.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,12.142857142857142,100.0,5.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,11.974285714285712,100.0,5.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,11.132857142857144,100.0,5.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,10.98857142857143,100.0,5.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,11.75,100.0,5.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,12.19285714285714,100.0,5.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,11.171428571428573,100.0,5.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,15.407142857142857,100.0,5.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,11.375714285714285,87.5,4.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,11.135714285714286,100.0,5.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,13.797142857142855,100.0,5.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,12.021428571428572,87.5,4.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,10.642857142857142,75.0,4.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,14.642857142857142,100.0,5.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,11.688571428571429,87.5,4.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,13.092857142857143,87.5,4.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,12.142857142857142,87.5,4.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,15.044285714285715,100.0,5.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,11.0,87.5,4.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,9.965714285714286,62.5,3.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,12.654285714285717,75.0,4.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,9.474285714285712,75.0,4.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,8.907142857142857,62.5,3.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,8.631428571428572,50.0,2.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,9.835714285714284,50.0,2.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,13.125714285714285,87.5,4.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,10.414285714285716,50.0,2.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,10.001428571428573,62.5,3.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,10.364285714285714,62.5,3.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,9.878571428571428,50.0,2.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,10.04142857142857,62.5,3.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,9.074285714285717,62.5,3.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,8.457142857142857,50.0,2.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,13.34,100.0,5.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,13.05,87.5,4.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,14.742857142857144,87.5,4.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,15.705714285714285,100.0,5.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,14.478571428571428,100.0,5.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,14.111428571428572,87.5,4.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,13.55714285714286,100.0,5.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,14.528571428571428,100.0,5.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,13.507142857142856,100.0,5.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,14.524285714285714,100.0,5.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,13.512857142857143,100.0,5.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,13.4,100.0,5.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,14.564285714285717,100.0,5.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,15.342857142857143,87.5,4.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,15.11,100.0,5.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,13.122857142857145,62.5,3.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,15.45,87.5,4.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,16.080000000000002,100.0,5.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,13.65,87.5,4.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,14.792857142857144,87.5,4.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,15.618571428571428,87.5,4.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,13.255714285714284,87.5,4.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,13.571428571428571,75.0,4.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,14.914285714285716,87.5,4.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,13.69,87.5,4.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,13.635714285714286,87.5,4.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,8.335714285714285,12.5,1.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,10.7,12.5,1.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,7.344285714285715,12.5,1.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,11.264285714285714,12.5,1.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,12.537142857142856,12.5,1.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,10.594285714285714,12.5,1.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,9.164285714285716,12.5,1.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,9.721428571428572,12.5,1.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,13.62142857142857,25.0,1.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,8.577142857142857,12.5,1.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,8.942857142857143,12.5,1.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,7.928571428571429,12.5,1.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,9.042857142857144,12.5,1.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,9.114285714285714,12.5,1.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,10.45,12.5,1.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,10.171428571428573,12.5,1.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,9.5,12.5,1.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,8.661428571428571,25.0,1.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,8.64,12.5,1.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,10.857142857142858,12.5,1.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,8.018571428571429,12.5,1.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,12.104285714285714,12.5,1.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,10.257142857142856,12.5,1.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,8.285714285714286,12.5,1.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,12.078571428571427,12.5,1.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,9.814285714285717,12.5,1.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,13.010000000000002,62.5,3.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,12.074285714285711,62.5,3.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,12.05,50.0,2.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,13.021428571428572,50.0,2.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,13.422857142857143,12.5,1.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,11.641428571428571,37.5,2.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,13.807142857142855,50.0,2.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,10.992857142857144,25.0,1.0,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,14.45142857142857,25.0,1.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,13.635714285714286,37.5,2.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,12.19285714285714,37.5,2.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,13.492857142857144,50.0,2.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,12.93,25.0,1.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,14.888571428571428,75.0,4.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,15.885714285714286,75.0,4.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,16.075714285714287,75.0,4.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,15.355714285714289,75.0,4.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,17.065714285714286,50.0,2.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,15.828571428571427,62.5,3.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,14.614285714285714,87.5,4.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,14.664285714285716,87.5,4.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,16.002857142857142,75.0,4.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,15.928571428571429,75.0,4.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,17.021428571428572,62.5,3.0,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,15.535714285714286,75.0,4.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,16.757142857142856,75.0,4.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,14.778571428571428,87.5,4.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,15.61,87.5,4.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,14.59,62.5,3.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,16.12857142857143,87.5,4.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,16.65,87.5,4.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,17.035714285714285,87.5,4.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,15.25,75.0,4.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,16.95,62.5,3.0,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,14.365714285714288,62.5,3.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,14.185714285714283,62.5,3.0,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,15.87,37.5,2.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,14.821428571428571,87.5,4.0,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,14.992857142857144,87.5,4.0,,REG
32,Hauts-de-France,,,,,,,,,,,,,,,,,,,,,,15.714285714285714,12.5,1.0,,REG
93,Provence-Alpes-Côte d'Azur,,,,,,,,,,,,,,,,,,,,,,16.842857142857145,75.0,4.0,,REG
6,Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,REG
27,Bourgogne et Franche-Comté,,,,,,,,,,,,,,,,,,,,,,15.428571428571429,75.0,4.0,,REG
3,Guyane,,,,,,,,,,,,,,,,,,,,,,,,,,REG
84,Auvergne et Rhône-Alpes,,,,,,,,,,,,,,,,,,,,,,17.427142857142858,12.5,1.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
2,Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,REG
53,Bretagne,,,,,,,,,,,,,,,,,,,,,,15.514285714285714,50.0,2.0,,REG
94,Corse,,,,,,,,,,,,,,,,,,,,,,16.664285714285715,62.5,3.0,,REG
24,Centre-Val de Loire,,,,,,,,,,,,,,,,,,,,,,15.552857142857144,12.5,1.0,,REG
75,Nouvelle Aquitaine,,,,,,,,,,,,,,,,,,,,,,17.564285714285713,75.0,4.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,17.315714285714286,12.5,1.0,,REG
52,Pays de la Loire,,,,,,,,,,,,,,,,,,,,,,15.611428571428572,62.5,3.0,,REG
76,Occitanie,,,,,,,,,,,,,,,,,,,,,,14.44,75.0,4.0,,REG
28,Normandie,,,,,,,,,,,,,,,,,,,,,,15.58,62.5,3.0,,REG
1,Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,REG
44,Grand Est,,,,,,,,,,,,,,,,,,,,,,15.36285714285714,37.5,2.0,,REG
11,Île-de-France,,,,,,,,,,,,,,,,,,,,,,19.525714285714287,37.5,2.0,,REG
4,Réunion,,,,,,,,,,,,,,,,,,,,,,,,,,REG
